name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
still feel.,half•alive,48XkVAagIoQHCsOlJtXUd5,0.779,0.516,-6.467,0.0521,0.148,120.026,0.0492,0.715
3 Nights,Dominic Fike,1tNJrcVe6gwLEiZCtprs1u,0.815,0.518,-6.594,0.0897,0.223,151.891,0.104,0.877
Don't Matter,Akon,12yGwtB2h9NlzeOKYfVYTF,0.801,0.454,-6.035,0.0371,0.225,125.139,0.226,0.34
"Hey Look Ma, I Made It",Panic! At The Disco,22oEJW6r2rMb9z4IntfyEa,0.577,0.833,-3.337,0.0695,0.0137,107.936,0.121,0.58
Oi,Lagum,78kar2tZk7655xZMibzXO3,0.807,0.56,-9.356,0.0459,0.296,134.093,0.101,0.725
Romance Frito,Jovem Dionisio,3GGf3ggib8yhS4QsvxQFBB,0.601,0.656,-8.135,0.0352,0.228,138.994,0.314,0.638
Te Olhei,Jovem Dionisio,1ObAnKZF6qTYg1W9ZAhKrs,0.632,0.628,-7.086,0.0752,0.552,145.134,0.157,0.644
Pontos de Exclamação - Vintage Culture & Future Class Remix,Jovem Dionisio,25usEf5iGk9HL0LM9VTxue,0.786,0.75,-6.277,0.102,0.0742,124.032,0.109,0.696
Saudade,Jean Tassy,5F9C2HBWPIi8fTYXKS2D1z,0.89,0.324,-8.558,0.43,0.0272,87.028,0.197,0.714
Pegando Leve,O Terno,5wyifj9jya5OUkuTKLFIhn,0.452,0.291,-12.225,0.0277,0.252,102.467,0.0581,0.465
Fury Of The Storm,DragonForce,0qTjb7p9gbojEemSJP71Yd,0.227,0.905,-5.104,0.0788,3.27e-05,199.798,0.363,0.182
Man of War,Radiohead,552BIJ9kKwwqiGf4YojYbL,0.274,0.472,-7.614,0.0263,0.0131,148.996,0.0802,0.14
The Headmaster Ritual - 2011 Remaster,The Smiths,4tFGNFIIZ9ANSewxGZyiDD,0.388,0.955,-6.184,0.0411,0.00201,150.352,0.146,0.693
Live Forever,Oasis,6KiYt8qRhjpo8QHqtPtDJV,0.113,0.841,-2.758,0.0449,7.87e-06,91.43,0.309,0.136
She's Electric,Oasis,7z0ZjHwSfg5ZBIoa2Fpkxg,0.531,0.913,-3.099,0.0443,0.174,125.541,0.547,0.457
Girls & Boys,Blur,5CeL9C3bsoe4yzYS1Qz8cw,0.693,0.875,-8.354,0.0315,0.00971,120.048,0.0601,0.901
Violent Sun,Everything Everything,5lS6b95oJTkSxhg2BEbd4f,0.405,0.902,-5.226,0.0538,0.00114,162.012,0.322,0.433
